,0
0,Colorado
1,Connecticut
2,Delaware
3,Idaho
4,Indiana
5,Iowa
6,Kentucky
7,Louisiana
8,Maine
9,Maryland
10,Massachusetts
11,Michigan
12,Minnesota
13,New Hampshire
14,Oklahoma
15,Rhode Island
16,Tennessee
17,Washington
18,Wisconsin
